Industry_Name,Number_of_Firms,Beta,Cost_of_Equity,E_D_E_,Std_Dev_in_Stock,Cost_of_Debt,Tax_Rate,After_tax_Cost_of_Debt,D_D_E_,Cost_of_Capital,Cost_of_Capital_Euros_
Paper/Forest Products,38,0.7315168538223734,0.0818863426901378,0.7895331408904336,0.2578316171342679,0.060454999999999995,0.16416974609436566,0.0455165695,0.21046685910956642,0.07423171076028218,0.05858755963270501
Power,73,0.7787386090277282,0.08466770407173319,0.6073563004764735,0.3112565548105587,0.060454999999999995,0.15380180860405573,0.0455165695,0.3926436995235265,0.06929525775294443,0.053722996717707305
Precious Metals,46,1.134958303654692,0.10564904408526136,0.8457527551782865,0.42341743715023983,0.060454999999999995,0.10177416289447845,0.0455165695,0.15424724482171348,0.09637377555617309,0.08040716717428698
Publishing & Newspapers,72,0.8092495145244608,0.08646479640549073,0.6403384561600012,0.3001102247080988,0.060454999999999995,0.13033792698490154,0.0455165695,0.3596615438399988,0.07173729389915136,0.056129469230717044
R.E.I.T.,142,0.7302032578858494,0.08180897188947653,0.5507240890771413,0.22896465668887026,0.054643,0.012029231634608686,0.0411407147,0.4492759109228587,0.06353770359502936,0.048049290435878245
Real Estate (Development),66,0.7963976061277989,0.08570781900092736,0.560466965160104,0.3197900321490795,0.060454999999999995,0.10939555801582926,0.0455165695,0.43953303483989603,0.0680424371337773,0.052488421059013524
Real Estate (General/Diversified),48,0.9378737734323472,0.09404076525516525,0.36404064051751905,0.29126749591863227,0.060454999999999995,0.09546207118571931,0.0455165695,0.635959359482481,0.06318134880330784,0.047698125277045866
Real Estate (Operations & Services),237,0.8300464259458876,0.08768973448821278,0.4529277654677786,0.2551969071240996,0.060454999999999995,0.09849469005324057,0.0455165695,0.5470722345322214,0.06461796688081517,0.049113821732065244
Recreation,60,1.0035503434252013,0.09790911522774437,0.7722987108313968,0.30059864085448196,0.060454999999999995,0.1490026464000997,0.0455165695,0.22770128916860322,0.08597926502271198,0.07016403300781815
Reinsurance,4,1.095957800932122,0.103351914474902,0.8307552609283814,0.18211184494801436,0.054643,0.23639180216766836,0.0411407147,0.16924473907161863,0.09282299620166637,0.07690809819872935
Restaurant/Dining,43,1.2535672909065732,0.11263511343439717,0.7241350731022503,0.33406471848208386,0.060454999999999995,0.0930843836323323,0.0455165695,0.27586492689774966,0.0941194612184513,0.07818568265701731
