Industry_Name,Number_of_firms,Average_Company_Age_years_,Market_Cap_millions_,Book_Equity_millions_,Enteprise_Value_millions_,Invested_Capital_millions_,Total_Debt_including_leases_millions_,Revenues_millions_,Gross_Profit_millions_,EBITDA_millions_,EBIT_Operating_Income_millions_,Net_Income_millions_
Healthcare Support Services,75,22.054794520547944,87444.56999999998,53635.43500000002,101149.58486741551,75934.94672613846,39403.303867415525,228003.29900000006,27117.214000000004,10147.003999999999,8752.780026516897,3429.441999999999
Heathcare Information and Technology,45,15.444444444444445,103002.66500000001,28023.199999999997,100215.57934192469,27341.976341924703,6387.504341924707,17674.739999999998,7049.260000000001,3169.6849999999995,2408.249531615058,2532.6549999999997
Homebuilding,4,23.5,633.8,581.4,619.206,561.713,184.031,883.2,99.85,33.44,19.78,7.909999999999997
Hospitals/Healthcare Facilities,25,19.36,39608.399999999994,7913.970000000002,40040.65076031083,7426.555760310814,3609.246760310815,8672.28,3155.09,1583.9449999999997,1138.7920479378367,615.3860000000002
Hotel/Gaming,80,32.08108108108108,100281.17000000001,54452.475,142039.29474344192,97084.46274344191,55813.98974344194,31275.08,15103.116999999997,3891.4969999999994,422.49625131161696,-2015.6939999999997
Household Products,34,36.94117647058823,21530.510000000006,10685.36,19998.98217505233,9247.426175052322,2264.9311750523234,11321.580000000002,3390.3419999999996,844.121,412.8851649895352,498.111
Information Services,3,18.333333333333332,745.6,158.3,695.537,133.767,1.9969999999999999,117.7,44.5,9.41,7.71,11.379999999999999
Insurance (General),6,16.2,33154.159999999996,34736.81,45609.95683142476,49697.66147413999,16990.466831424765,66507.28,13576.02,3384.383,3045.845433715047,2363.86
Insurance (Life),8,43.142857142857146,308980.3,259829.5,562834.2000000002,570479.2,358906.7,422134.9,112074.4,61851.09999999999,58538.8,16427.600000000002
Insurance (Prop/Cas.),3,42.666666666666664,53556.1,65031.799999999996,73435.7,97319,23951.8,150750.09999999998,22680.799999999996,7585.320000000001,6847.81,6706
Investments & Asset Management,42,16.09090909090909,20561.844999999994,44817.026999999995,265968.6549608226,288327.63984464726,246678.32596082255,6093.682,3534.057,319.3470000000001,262.36080783548766,-790.2289999999999
Machinery,421,25.310843373493977,421680.4899999998,135466.75000000003,427135.38922845334,158626.37622845315,57505.16922845323,180043.12000000008,42944.09900000001,18068.658000000007,12885.90555430936,11032.282
Metals & Mining,129,24.80952380952381,240684.62999999998,133298.36000000002,295977.8984305383,217897.2279668644,108782.71743053834,388791.993,32702.272999999997,27317.259000000002,17562.193113892332,11395.910000000005
Office Equipment & Services,10,21.9,10125.45,3136.1000000000004,9819.81,2866.482,1333.35,7157.000000000001,1317.7200000000003,407.8299999999999,292.212,227.36500000000007
Oil/Gas (Integrated),4,22.5,269912.2,302685.7,347661.5,430679.134,128798.29999999999,889122.1,227567.99999999997,93696.7,47774.3,31697.359999999997
Oil/Gas (Production and Exploration),15,24.454545454545453,99690.9,89855.30000000002,99530.336,97950.79800000001,22772.601,66391.40999999999,45786.71,35300.74,25300.864999999998,18678.828999999994
Oil/Gas Distribution,21,24.05,32073.559999999998,22916.770000000004,48037.825,41913.259000000005,22087.090000000004,27525.389999999996,4387.704999999999,4815.936000000001,3285.213999999999,2421.652
