Industry_Name,Number_of_firms,Total_Dividends_US_millions_,Special_Dividends_as_of_Total_Dividends,Dividend_Payout,Dividend_Yield,Market_Cap_US_millions_,ROE,Institutional_Holdings,Std_Dev_in_Stock_Prices
Oil/Gas (Integrated),4,17289.5,0,0.5454555205859416,0.06405601525236725,269912.2,0.1047203749632044,0.087675,0.23493592145511297
Oil/Gas (Production and Exploration),15,8865.4,-0.015137500845985516,0.47462290061116796,0.08892887916550056,99690.9,0.20787676408625858,0.08591181818181819,0.3601212399445332
Oil/Gas Distribution,21,1428.8699999999997,0,0.5900393615597945,0.04454977869622205,32073.559999999998,0.10567161078982769,0.1139275,0.26565094004412865
Oilfield Svcs/Equip.,56,770.81,0,0.48925468968782787,0.019787738948994087,38953.92000000001,0.05798177900371524,0.054785744680851074,0.2940733612130657
Packaging & Container,22,337.23,0,0.817983360419143,0.02889744462030062,11669.89,0.062023469234241006,0.06905611111111112,0.2436783961826011
Paper/Forest Products,47,1206.0757999999998,0,0.016163802403186253,0.03773476132386247,31961.930000000008,-0.0037612189943277896,0.052297692307692316,0.3050858271086253
Power,101,22463.704,0,1.0075344060444968,0.06878733953313529,326567.4200000001,0.08055323965685679,0.0809518279569892,0.23704571751509676
Precious Metals,19,1882.9160000000002,0,0.5980055007527012,0.02279310198396233,82609.02800000002,0.12004178469444941,0.1342575,0.35827017839671627
Publishing & Newspapers,41,1178.1009999999997,0,0.5194975680955296,0.024153470871935253,48775.639999999985,0.08538715026499814,0.08541820512820512,0.3467890870618602
R.E.I.T.,9,516.4999999999999,-0.022652468538238144,0.025243696060738667,0.09603763410870009,5378.099999999999,-0.007086614173228346,0.13197777777777778,0.18050262768695913
Real Estate (Development),206,29272.728000000014,0.0010282608440183637,0.02676898145082067,0.0008447185518650238,279537.9000000001,-0.06669599993611375,0.08442722222222226,0.36821471507986786
Real Estate (General/Diversified),56,6401.513999999998,0.009544617101516925,1.205733943139734,0.05626928964868843,113765.67999999996,0.019423509604514815,0.08482192307692307,0.29178712494481873
Real Estate (Operations & Services),125,3693.2846000000004,0.048953714533670104,2.6178580440656534,0.045877237352248926,80503.64,0.008359683772333705,0.07986977011494252,0.3358790536864097
Recreation,62,360.649,0.011035660711661477,1.1034555556915393,0.01234846848093044,29205.97,0.025108551024359074,0.06259979166666667,0.3208315694115687
Reinsurance,1,263.6,0,0.5595414986202505,0.0010653948751111473,2474.2,0.035503538295739726,0.0334,0.17299740497377286
Restaurant/Dining,48,476.1608,0,0.18209445751690975,0.0045988314413665425,103539.52,0.0869795497964892,0.1277725,0.4352709789645401
Retail (Automotive),28,913.734,0.01378957114433741,2.03095778423349,0.06329581814264824,14435.929999999998,0.021359648650128113,0.06978681818181819,0.3915643142810637
Retail (Building Supply),7,124.57639999999999,0,1.1874144537430658,0.0802595076570221,1552.17,0.11425677662459297,0.02358,0.27300125130261277
Retail (Distributors),136,7289.402199999996,0.0011043429597011405,1.5077932205381182,0.08795011407908433,82881.09999999999,0.06561845102753036,0.05230835294117647,0.36358868446518233
Retail (General),58,1121.7776999999999,0,1.9290938169061291,0.02439491450084463,45984.080000000016,0.016205372557336308,0.054175576923076896,0.28502521221089927
Retail (Grocery and Food),29,404.1119999999999,0,0.005500488231429896,0.01606391986166597,25156.499999999996,-0.045570847403987626,0.06586249999999999,0.35783191157973815
Retail (REITs),2,738.6999999999999,0,0.022335329341317368,0.04691439567627987,15745.699999999999,-0.007647477236376212,0.28240000000000004,0.16373365611622165
Retail (Special Lines),71,3493.8442000000005,0.04631002149437573,0.005498813458652595,0.030207594392999134,115661.12000000001,-0.017982434883014892,0.07902557692307692,0.3424171213891998
Rubber& Tires,15,457.844,0,0.3662869211814779,0.020929150343528727,21875.899999999998,0.09680307301508627,0.11002933333333337,0.26156741599084904
Semiconductor,173,4854.093600000001,0,0.399392152334149,0.010348988495425744,469040.3899999997,0.09625828549143729,0.14409198757763975,0.35053007559068194
Semiconductor Equip,59,2667.0060000000008,0,0.27455987646377567,0.014468311106505956,184334.3,0.20525490593826132,0.1668096610169491,0.3780387083633861
Shipbuilding & Marine,56,16717.1592,0.1919644337657561,0.9008459799221624,0.0005776354732393011,123249.67000000001,0.13018990552079324,0.08156822222222222,0.24080266294198543
Shoe,21,553.1378,0.0007882303469406719,1.0777392209087773,0.032831845485410384,16847.6,0.04453239763402739,0.091470625,0.3921354976207287
Software (Entertainment),33,1947.1405999999997,0,0.07213711805422414,0.0049575598846539806,392761.8920000001,0.22945288011990075,0.07378392857142857,0.4696202053064469
Software (Internet),19,413.87,0,1.9721242733250737,0.017995208466491882,22998.899999999994,0.025053752272757118,0.09626111111111109,0.3399832570802881
Software (System & Application),189,1171.6753999999996,0,0.005415006784610429,0.004425652454189503,264746.36499999993,-0.024194233033408372,0.11699786127167622,0.39634987043585945
Steel,111,7041.380000000002,0.0017752201983133984,1.3584730205920745,0.04397207596011291,160132.99000000002,0.03221814554440128,0.08444368932038834,0.2652892299092005
Telecom (Wireless),8,14213.16,0,0.7369952627081381,0.06950624664038177,204487.52,0.09754124769047831,0.08693333333333335,0.3320147995174
Telecom. Equipment,125,1968.5370999999998,0,0.6033656348292187,0.01248356810369899,157690.25999999992,0.06409204472189468,0.0884898230088496,0.34241614692948186
Telecom. Services,16,5040.634299999999,0,0.6323635427071437,0.04317114046969256,116759.35000000002,0.05675850090263448,0.08072466666666667,0.2636929287418906
Tobacco,2,0.635,0,0.002588666938442723,0.00011097518350227193,5722,0.07833807044997286,0.03565,0.3262013522125299
Transportation,141,6771.350399999998,0.03033663713518651,0.7013643736521886,0.034241721401197245,197751.45999999993,0.0842117628913963,0.07734400000000004,0.273673951316888
Transportation (Railroads),10,2704.6200000000003,0,0.6852864418374846,0.03241884560707873,83427.40000000001,0.052145500572758886,0.08672,0.24759023849803782
