Industry_Name,Number_of_Firms,CEO_Holding,Corporate_Holdings,Institutional_Holdings,Insider_Holdings
Retail (General),256,0.11254377483443705,0.33098748743718615,0.21373104545454555,0.18937028846153844
Retail (Grocery and Food),201,0.091427969924812,0.34167415662650596,0.18908482558139525,0.2035661714285715
Retail (REITs),123,0.007094788732394365,0.16607222222222212,0.41675931623931645,0.05156553191489364
Retail (Special Lines),639,0.12343815656565656,0.2723896529284166,0.215531359223301,0.2600853296703295
Rubber& Tires,89,0.09500531914893617,0.4044845070422536,0.12986246575342464,0.22485729729729725
Semiconductor,647,0.08217775167785243,0.21747618004866173,0.18034758555133076,0.16545174496644297
Semiconductor Equip,367,0.12114887254901963,0.21769555084745779,0.19147377708978336,0.22035075907590757
Shipbuilding & Marine,348,0.08473266233766234,0.43479286219081253,0.1413097407407407,0.16295826855123688
Shoe,85,0.08024500000000001,0.33684290322580673,0.22656683333333333,0.23703661971830983
Software (Entertainment),317,0.15980197368421048,0.19829786046511635,0.2010473279352227,0.27448817843866175
Software (Internet),151,0.1782469306930692,0.19029877358490563,0.1926261864406779,0.28765854961832066
Software (System & Application),1616,0.12461340505145013,0.1715625574977001,0.21420380597014932,0.2529522118826058
Steel,718,0.10114943089430893,0.3453366547406079,0.13088024667931702,0.2567485032894743
Telecom (Wireless),98,0.05332653061224489,0.45025775,0.18507702380952384,0.10532642857142861
Telecom. Equipment,453,0.11121897119341562,0.22209856655290092,0.16529934523809534,0.20712101648351658
Telecom. Services,288,0.10749045751633987,0.3210771707317075,0.18322615740740744,0.18147207207207194
Tobacco,56,0.09741703703703704,0.4089641666666668,0.20470000000000002,0.1757488636363636
Transportation,443,0.11135262500000008,0.3743395770392752,0.1506163444108761,0.22713457865168554
Transportation (Railroads),49,0.0031164864864864864,0.2230918918918919,0.31887041666666666,0.05519409090909091
Trucking,106,0.10044205882352938,0.29338564705882353,0.25904518987341774,0.20416744444444443
Utility (General),50,0.017963548387096774,0.25783666666666677,0.40734347826086953,0.04948405405405405
